event_id,city_id,event_type,fd_onset,transition_interval_days,sm_min_pct_weighted,decline_rate_weighted,fd_duration_days_weighted,max_fd_coverage,wet_p5max_20d,wet_threshold_ratio_max_20d,vpd_mean_drought
E00001,C001,FD_P,2002-04-05,10.0,10.631549984993415,7.417607346886147,23.02092544165484,0.6419205317017358,57.74061135378092,1.8554688281056089,1.8769489249187743
E00002,C001,FD_only,2004-05-06,,11.880825886816647,7.1900545020619475,24.066689480297395,0.627069086994249,,,1.933927353914412
E00003,C001,FD_P,2006-06-07,12.0,11.668301235712924,6.843319222362859,24.297580224155322,0.8039337469241352,72.09103834837094,1.2007563013624771,1.6849900227147576
E00004,C001,FD_only,2008-07-08,,10.704777090257501,6.872452735696527,22.778851248017858,0.7380071899332004,,,1.7579322915925084
E00005,C001,FD_P,2010-08-09,14.0,11.002573222367424,7.00744895243166,24.7740786000215,0.7691602841185893,47.41074646009719,1.2973494495141906,1.758243680627924
E00006,C001,FD_only,2012-04-10,,10.259867439932535,6.935596829500909,25.794496659853547,0.699701094959782,,,1.7499645122476248
E00007,C001,FD_P,2014-05-11,16.0,10.827965588026226,6.8469747090436455,21.617792577815116,0.7281780337071821,69.22009729018346,1.2593457903650487,1.7369950885351584
E00008,C001,FD_only,2016-06-12,,12.061575050178655,6.818628625531158,25.55434326677063,0.7000646934600239,,,1.7447959429550444
E00009,C002,FD_P,2003-04-06,10.0,14.374233381143869,7.743347527144957,22.527989482042415,0.7522792634364889,84.80469400369044,2.041026473746187,1.2381202972616008
E00010,C002,FD_only,2005-05-07,,16.37447691626669,6.950123457691937,22.383993884188346,0.7264019055462405,,,1.1739617757468461
E00011,C002,FD_P,2007-06-08,12.0,15.572996209267226,7.046169541091244,25.663522085276707,0.5626293280595317,63.72311590905951,1.9761575911237859,1.1599788049918915
E00012,C002,FD_only,2009-07-09,,13.434854322246988,6.348944544584159,21.410740067546875,0.7069552664880883,,,1.1205521756355696
E00013,C002,FD_P,2011-08-10,14.0,15.108108434820242,6.90276165557339,24.067409348734426,0.702514439108791,82.49429250948693,1.4033822953126789,1.1424878179447027
E00014,C002,FD_only,2013-04-11,,13.636315933448312,7.62849296362678,26.149610378267273,0.6843266752491278,,,1.294861446163534
E00015,C002,FD_P,2015-05-12,16.0,13.487344035491528,7.565048074823366,23.020320686413015,0.7965865275646984,50.55946749738493,1.7126293582917544,1.3212448506043026
E00016,C002,FD_only,2017-06-13,,14.601106702667428,7.224479060422427,24.030950457995914,0.5702609847238188,,,1.2523905822989227
E00017,C002,FD_P,2019-07-14,11.0,13.63382329999463,7.824074113937783,24.179469732010837,0.6871178684086997,81.23524705535291,1.5840114706684085,1.2649639654842102
E00018,C003,FD_P,2004-04-07,10.0,17.664291625415423,8.050713599984979,20.513604391375807,0.7061246159871699,69.24894523291897,1.5186190846063288,0.6697734945755288
E00019,C003,FD_only,2006-05-08,,17.81432823518855,8.02465804392069,23.562634014784333,0.5827010085976996,,,0.6718131527564887
E00020,C003,FD_P,2008-06-09,12.0,16.745239478739087,7.585936598793154,26.410597847186953,0.6259220409243433,35.16960213289944,2.070370733838544,0.7179260816756087
E00021,C003,FD_only,2010-07-10,,15.84829070646502,8.147061507613424,22.357217251550846,0.8185813968574904,,,0.8322296903500239
E00022,C003,FD_P,2012-08-11,14.0,16.02878576289677,7.860017365160672,23.35618812909523,0.6975066262249775,52.661875640794634,1.2308034101645697,0.6927260886522714
E00023,C003,FD_only,2014-04-12,,17.088698256151435,8.184110690912789,25.721212543744944,0.8224138985228784,,,0.7629026629596447
E00024,C003,FD_P,2016-05-13,16.0,16.069242462997178,8.151738980805444,22.708001591530792,0.7225447703949235,65.08109308532042,1.6130031914225051,0.7631483279712552
E00025,C003,FD_only,2018-06-14,,16.044327867720572,7.809755135962246,25.50602292931832,0.7014364256323505,,,0.7264960743749067
E00026,C003,FD_P,2020-07-15,11.0,17.210244294379397,8.293181242103358,27.636857610235953,0.8164668126349639,85.87307947524413,1.1021583390933025,0.8003659167417699
E00027,C003,FD_only,2022-08-16,,15.161034181772763,7.4785629145332315,22.733850446022583,0.7752707424366895,,,0.6946434970177614
E00028,C004,FD_P,2005-04-08,10.0,18.286760734604332,8.89905611265356,21.33512121744968,0.783644117150084,43.22180981437077,1.313693204234068,1.488893155880341
E00029,C004,FD_only,2007-05-09,,18.404816813771475,8.529583364391113,22.950146340737735,0.7723352655698124,,,1.374417053800542
E00030,C004,FD_P,2009-06-10,12.0,18.39296035459244,8.598726558562696,26.969420797438012,0.7023306476083853,60.938632897355895,1.5674756912614212,1.3909746487739776
E00031,C004,FD_only,2011-07-11,,17.3597991520512,7.288152271974293,21.759878477078924,0.795059360377818,,,1.3684780486479906
E00032,C004,FD_P,2013-08-12,14.0,19.2449814024797,8.636018690932827,26.33682887874637,0.7525917161973952,84.69036507851075,1.1449962098428714,1.3232367372411313
E00033,C004,FD_only,2015-04-13,,19.243304375413622,8.165546027951514,27.174137119971196,0.5989253619388356,,,1.5248549557361228
E00034,C004,FD_P,2017-05-14,16.0,18.707992339150433,8.550173776154088,23.01175806140394,0.6776364405269627,98.92394465430814,1.4713431537083044,1.4286215154945257
E00035,C004,FD_only,2019-06-15,,18.538167003767807,8.28987211631564,25.12284133560639,0.7367140143711843,,,1.5569433871753549
